GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°F),Android device Battery Level(%),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°F),Catalyst Temperature (Bank 1 Sensor 2)(°F),Catalyst Temperature (Bank 2 Sensor 1)(°F),Catalyst Temperature (Bank 2 Sensor 2)(°F),Charge air cooler temperature (CACT)(°F),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled since codes cleared(miles),Distance travelled with MIL/CEL lit(miles),DPF Bank 1 Delta Pressure(psi),DPF Bank 1 Inlet Pressure(psi),DPF Bank 1 Inlet Temperature(°F),DPF Bank 1 Outlet Pressure(psi),DPF Bank 1 Outlet Temperature(°F),DPF Bank 2 Delta Pressure(psi),DPF Bank 2 Inlet Pressure(psi),DPF Bank 2 Inlet Temperature(°F),DPF Bank 2 Outlet Pressure(psi),DPF Bank 2 Outlet Temperature(°F),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°F),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°F),Exhaust gas temp Bank 1 Sensor 2(°F),Exhaust gas temp Bank 1 Sensor 3(°F),Exhaust gas temp Bank 1 Sensor 4(°F),Exhaust gas temp Bank 2 Sensor 1(°F),Exhaust gas temp Bank 2 Sensor 2(°F),Exhaust gas temp Bank 2 Sensor 3(°F),Exhaust gas temp Bank 2 Sensor 4(°F),Exhaust Pressure Bank 1(psi),Exhaust Pressure Bank 2(psi),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel Trim Bank 2 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel trim Bank 1 Sensor 3(%),Fuel trim Bank 1 Sensor 4(%),Fuel trim Bank 2 Sensor 1(%),Fuel trim Bank 2 Sensor 2(%),Fuel trim Bank 2 Sensor 3(%),Fuel trim Bank 2 Sensor 4(%),Fuel used (trip)(gal),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Hybrid/EV Battery State of Health(%),Hybrid/EV System Battery Current(A),Hybrid/EV System Battery Power(W),Hybrid/EV System Battery Voltage(V),Intake Air Temperature(°F),Intake Manfold Abs Pressure A(psi),Intake Manfold Abs Pressure B(psi),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Mass air flow sensor A(g/s),Mass air flow sensor B(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 1 Wide Range Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),O2 Bank 1 Sensor 2 Wide Range Current(mA),O2 Bank 1 Sensor 2 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 2 Wide Range Voltage(V),O2 Bank 1 Sensor 3 Voltage(V),O2 Bank 1 Sensor 3 Wide Range Current(mA),O2 Bank 1 Sensor 3 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 3 Wide Range Voltage(V),O2 Bank 1 Sensor 4 Voltage(V),O2 Bank 1 Sensor 4 Wide Range Current(mA),O2 Bank 1 Sensor 4 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 4 Wide Range Voltage(V),O2 Bank 2 Sensor 1 Voltage(V),O2 Bank 2 Sensor 1 Wide Range Current(mA),O2 Bank 2 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 2 Sensor 1 Wide Range Voltage(V),O2 Bank 2 Sensor 2 Voltage(V),O2 Bank 2 Sensor 2 Wide Range Current(mA),O2 Bank 2 Sensor 2 Wide Range Equivalence Ratio(λ),O2 Bank 2 Sensor 2 Wide Range Voltage(V),O2 Bank 2 Sensor 3 Voltage(V),O2 Bank 2 Sensor 3 Wide Range Current(mA),O2 Bank 2 Sensor 3 Wide Range Equivalence Ratio(λ),O2 Bank 2 Sensor 3 Wide Range Voltage(V),O2 Bank 2 Sensor 4 Voltage(V),O2 Bank 2 Sensor 4 Wide Range Current(mA),O2 Bank 2 Sensor 4 Wide Range Equivalence Ratio(λ),O2 Bank 2 Sensor 4 Wide Range Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 2)(°F),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip distance (stored in vehicle profile)(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Jun 12 20:51:11 CDT 2022,12-Jun-2022 20:51:12.708,-96.628857117576,33.02172975563458,0.0,7.30997371673584,151.32269392883407,333.4111022949219,7.64207745,4.47158718,4.2071805,0.01827598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.76999998,0.44,0.33000001,-,-,-,-,-,-,-,-,65,-,-,988.1348877,14.21369832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.98285344,496.46552855,333.41110229,33.02172852,-96.62886047,17,-,-,-,-,-,-,-,-,-,-,-,-,28.55221176,-,3.50232506,-,-,-,-,67.15955353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.66372323,0,97.33627319,-,-,-,-,0,-,-,-,-,-,-,-,-,-,17.03069985,0,0,0,-,-,-,-
Sun Jun 12 20:51:12 CDT 2022,12-Jun-2022 20:51:13.227,-96.62885695396828,33.02172621902322,0.0,7.007585048675537,151.40288542361145,333.4111022949219,7.65164852,4.36091948,4.23529625,0.01518422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.76999998,0.44,0.33000001,-,-,-,-,-,-,-,-,65,-,-,988.21240234,14.21369832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.37254906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.99076463,496.72860249,333.41110229,33.0217247,-96.62886047,15,-,-,-,-,-,-,-,-,-,-,-,-,28.55221176,-,3.50232506,-,-,-,-,67.15955353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.66372323,0,97.33627319,-,-,-,-,0,-,-,-,-,-,-,-,-,-,17.03069985,0,0,0,-,-,-,-
Sun Jun 12 20:51:42 CDT 2022,12-Jun-2022 20:51:43.833,-96.62884547933842,33.02164072583368,0.021263357251882553,4.344473361968994,150.59452134001035,189.39080810546875,-0.56889361,4.80359125,8.36171913,0.00371403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.15686321,0,-0.04,0.47,0.76999998,21.1764698,9.8039217,-,0,14.69999981,29.38261795,-,-,64,-,0,988.19488525,14.21369832,-,-,-,-,88.16000137,-,-,-,-,1,-,-,-,-,-,3173.96404874,0,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.37254906,-,-,-,-,-,-5.46875,0,-,-,-,-,-,-,-,-,-,-,-,14.25352155,494.07653683,189.39080811,33.02164078,-96.62884521,26,0,50.19607925,50.19607925,-,-,-,0,-,-,-,14.21369832,217.67167664,28.55221176,0,3.50232506,-,0.25,0,512,67.15955353,-,-,-,-,1.99881744,7.99526978,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.66372323,0,97.33627319,-,-,-,38,0.04756477,0,17.64705849,0,-,-,-,-,-,-,17.03069985,0,0,0,0,14.58699989,13.69999981,-
